pilotId,pilotCategory,canonicalCellId,latitude,longitude,officialAreaLabel
P1-047,MICROGREEN_UNDERCOUNT,g183-184,35.67525691699605,139.63318112081168,東京都杉並区下高井戸三丁目
P1-048,MICROGREEN_UNDERCOUNT,g156-190,35.69951131872081,139.6398065921425,東京都杉並区阿佐谷南一丁目
P1-049,MICROGREEN_UNDERCOUNT,g407-111,35.47403521379806,139.5525712196201,神奈川県横浜市旭区鶴ケ峰二丁目
P1-050,MICROGREEN_UNDERCOUNT,g402-92,35.47852676967302,139.53159056040585,神奈川県横浜市旭区今宿南町
P1-051,URBAN_LOW_GREEN_HOT,g288-300,35.58093424362199,139.76127356654078,東京都大田区東海三丁目
P1-052,URBAN_LOW_GREEN_HOT,g230-333,35.63303629177147,139.79771365886026,東京都江東区有明三丁目
P1-053,URBAN_LOW_GREEN_HOT,g357-133,35.51895077254761,139.57686461449975,神奈川県横浜市都筑区池辺町
P1-054,URBAN_LOW_GREEN_HOT,g323-171,35.54949335249731,139.61882593292825,神奈川県横浜市港北区高田西一丁目
P1-055,URBAN_LOW_GREEN_HOT,g453-220,35.43271289974847,139.67293394879658,神奈川県横浜市中区本牧ふ頭
P1-056,URBAN_LOW_GREEN_HOT,g353-275,35.522544017247576,139.73366743599573,神奈川県川崎市川崎区池上新町三丁目
P1-057,URBAN_LOW_GREEN_HOT,g338-302,35.53601868487244,139.76348205698437,神奈川県川崎市川崎区殿町三丁目
P1-058,URBAN_LOW_GREEN_HOT,g373-251,35.50457779374776,139.70716555067244,神奈川県川崎市川崎区田辺新田
P1-059,URBAN_LOW_GREEN_HOT,g75-275,35.77227452389508,139.73366743599573,東京都北区神谷三丁目
P1-060,URBAN_LOW_GREEN_HOT,g511-188,35.380610851598995,139.6375981016989,神奈川県横浜市金沢区鳥浜町
