pilotId,pilotCategory,canonicalCellId,latitude,longitude,officialAreaLabel,zoneId,v1ResidentialAreaRank,v1ZoneRank,zoneReleaseBand,coreCellCount,v1MeanRobustCandidateShare500m,v1MeanFavorablePillarsP25
V2TOP-019,V1_TOP100_RESIDENTIAL_ZONE,g506-108,35.385102,139.549259,神奈川県横浜市戸塚区上倉田町,HRZ02599,19,19,A_HIGH_EVIDENCE_CLUSTER,58,0.6304813738984228,2.9482758620689653
V2TOP-020,V1_TOP100_RESIDENTIAL_ZONE,g529-56,35.364442,139.491838,神奈川県横浜市戸塚区東俣野町,HRZ02740,20,20,A_HIGH_EVIDENCE_CLUSTER,52,0.6578528106508875,3.3076923076923075
V2TOP-021,V1_TOP100_RESIDENTIAL_ZONE,g539-192,35.355459,139.641999,神奈川県横浜市金沢区長浜,HRZ02808,21,22,A_HIGH_EVIDENCE_CLUSTER,50,0.5666666666666667,2.96
V2TOP-022,V1_TOP100_RESIDENTIAL_ZONE,g544-118,35.350968,139.560302,神奈川県横浜市栄区公田町,HRZ02834,22,24,A_HIGH_EVIDENCE_CLUSTER,40,0.6596179012345679,3.325
V2TOP-023,V1_TOP100_RESIDENTIAL_ZONE,g532-158,35.361747,139.604474,神奈川県横浜市磯子区氷取沢町,HRZ02790,23,25,A_HIGH_EVIDENCE_CLUSTER,37,0.7627627627627628,3.2162162162162162
V2TOP-024,V1_TOP100_RESIDENTIAL_ZONE,g263-144,35.603396,139.589013,神奈川県川崎市高津区上作延,HRZ00873,24,26,A_HIGH_EVIDENCE_CLUSTER,33,0.5637860082304527,3.3636363636363638
V2TOP-025,V1_TOP100_RESIDENTIAL_ZONE,g529-132,35.364442,139.575768,神奈川県横浜市港南区港南台八丁目,HRZ02777,25,27,A_HIGH_EVIDENCE_CLUSTER,32,0.6820987654320988,3.40625
V2TOP-026,V1_TOP100_RESIDENTIAL_ZONE,g453-95,35.432717,139.534901,神奈川県横浜市戸塚区名瀬町,HRZ02302,26,28,A_HIGH_EVIDENCE_CLUSTER,29,0.7398892727982262,3.206896551724138
V2TOP-027,V1_TOP100_RESIDENTIAL_ZONE,g568-150,35.329407,139.595637,神奈川県横浜市金沢区朝比奈町,HRZ02887,27,29,A_HIGH_EVIDENCE_CLUSTER,26,0.6798141514087678,3.3846153846153846
V2TOP-028,V1_TOP100_RESIDENTIAL_ZONE,g447-111,35.438106,139.552572,神奈川県横浜市戸塚区品濃町,HRZ02276,28,30,A_HIGH_EVIDENCE_CLUSTER,25,0.7214814814814815,3.36
V2TOP-029,V1_TOP100_RESIDENTIAL_ZONE,g449-105,35.436309,139.545945,神奈川県横浜市戸塚区川上町,HRZ02275,29,31,A_HIGH_EVIDENCE_CLUSTER,21,0.6384479717813052,3.0952380952380953
V2TOP-030,V1_TOP100_RESIDENTIAL_ZONE,g492-66,35.397679,139.502881,神奈川県横浜市泉区和泉町,HRZ02547,30,32,A_HIGH_EVIDENCE_CLUSTER,19,0.8089668615984405,2.8421052631578947
V2TOP-031,V1_TOP100_RESIDENTIAL_ZONE,g354-123,35.521646,139.565824,神奈川県横浜市緑区寺山町,HRZ01498,31,33,A_HIGH_EVIDENCE_CLUSTER,19,0.558641975308642,3.0526315789473686
V2TOP-032,V1_TOP100_RESIDENTIAL_ZONE,g456-108,35.430022,139.549259,神奈川県横浜市戸塚区吉田町,HRZ02321,32,34,A_HIGH_EVIDENCE_CLUSTER,19,0.6150097465886939,3.210526315789474
V2TOP-033,V1_TOP100_RESIDENTIAL_ZONE,g316-122,35.555779,139.56472,神奈川県横浜市青葉区市ケ尾町,HRZ01215,33,35,A_HIGH_EVIDENCE_CLUSTER,18,0.654320987654321,3.388888888888889
V2TOP-034,V1_TOP100_RESIDENTIAL_ZONE,g551-116,35.344679,139.558093,神奈川県横浜市栄区桂台西二丁目,HRZ02838,34,36,A_HIGH_EVIDENCE_CLUSTER,17,0.681917211328976,3.2941176470588234
V2TOP-035,V1_TOP100_RESIDENTIAL_ZONE,g210-242,35.651004,139.69743,東京都江戸川区小松川一丁目,HRZ00615,35,37,A_HIGH_EVIDENCE_CLUSTER,14,0.656084656084656,2.642857142857143
V2TOP-036,V1_TOP100_RESIDENTIAL_ZONE,g402-197,35.478527,139.647537,東京都江東区若洲三丁目,HRZ01906,36,38,A_HIGH_EVIDENCE_CLUSTER,13,0.8445326278659612,2.6153846153846154
V2TOP-037,V1_TOP100_RESIDENTIAL_ZONE,g181-208,35.677055,139.659683,東京都港区元赤坂二丁目,HRZ00467,37,39,A_HIGH_EVIDENCE_CLUSTER,12,0.5761316872427984,2.6666666666666665
V2TOP-038,V1_TOP100_RESIDENTIAL_ZONE,g180-208,35.677953,139.659683,東京都千代田区皇居外苑,HRZ00475,38,40,A_HIGH_EVIDENCE_CLUSTER,10,0.6993827160493827,2.4
V2TOP-039,V1_TOP100_RESIDENTIAL_ZONE,g385-210,35.493798,139.661892,神奈川県横浜市神奈川区菅田町,HRZ01767,39,41,A_HIGH_EVIDENCE_CLUSTER,9,0.6021947873799726,2.888888888888889
V2TOP-040,V1_TOP100_RESIDENTIAL_ZONE,g505-69,35.386,139.506194,神奈川県横浜市泉区下和泉三丁目,HRZ02569,40,42,A_HIGH_EVIDENCE_CLUSTER,9,0.6530864197530864,2.888888888888889
V2TOP-041,V1_TOP100_RESIDENTIAL_ZONE,g316-116,35.555779,139.558093,神奈川県横浜市青葉区下谷本町,HRZ01208,41,43,A_HIGH_EVIDENCE_CLUSTER,8,0.6404320987654321,3.375
V2TOP-042,V1_TOP100_RESIDENTIAL_ZONE,g414-103,35.467746,139.543736,神奈川県横浜市保土ケ谷区今井町,HRZ02015,42,44,A_HIGH_EVIDENCE_CLUSTER,8,0.6493055555555556,3.125
V2TOP-043,V1_TOP100_RESIDENTIAL_ZONE,g282-87,35.586325,139.526068,神奈川県川崎市麻生区王禅寺,HRZ00987,43,45,A_HIGH_EVIDENCE_CLUSTER,7,0.6675485008818342,3.2857142857142856
V2TOP-044,V1_TOP100_RESIDENTIAL_ZONE,g328-75,35.544999,139.512817,神奈川県横浜市青葉区恩田町,HRZ01349,44,46,A_HIGH_EVIDENCE_CLUSTER,7,0.7658730158730159,2.857142857142857
V2TOP-045,V1_TOP100_RESIDENTIAL_ZONE,g420-113,35.462356,139.554781,神奈川県横浜市旭区市沢町,HRZ02061,45,47,A_HIGH_EVIDENCE_CLUSTER,7,0.6428571428571429,3.4285714285714284
V2TOP-046,V1_TOP100_RESIDENTIAL_ZONE,g345-166,35.529727,139.613323,神奈川県横浜市都筑区池辺町,HRZ01436,46,48,A_HIGH_EVIDENCE_CLUSTER,7,0.6739417989417989,3.0
V2TOP-047,V1_TOP100_RESIDENTIAL_ZONE,g360-137,35.516256,139.581291,神奈川県横浜市緑区十日市場町,HRZ01581,47,49,A_HIGH_EVIDENCE_CLUSTER,7,0.6904761904761905,3.0
V2TOP-048,V1_TOP100_RESIDENTIAL_ZONE,g427-148,35.456068,139.593429,神奈川県横浜市旭区南本宿町,HRZ02120,48,50,A_HIGH_EVIDENCE_CLUSTER,7,0.6126543209876543,3.142857142857143
V2TOP-049,V1_TOP100_RESIDENTIAL_ZONE,g346-64,35.528829,139.500672,神奈川県横浜市緑区長津田町,HRZ01457,49,51,A_HIGH_EVIDENCE_CLUSTER,6,0.7685185185185185,2.8333333333333335
V2TOP-050,V1_TOP100_RESIDENTIAL_ZONE,g422-153,35.460559,139.59895,神奈川県横浜市旭区万騎が原,HRZ02078,50,52,A_HIGH_EVIDENCE_CLUSTER,6,0.6172839506172839,3.0
V2TOP-051,V1_TOP100_RESIDENTIAL_ZONE,g465-111,35.421937,139.552572,神奈川県横浜市戸塚区上矢部町,HRZ02388,51,53,A_HIGH_EVIDENCE_CLUSTER,6,0.6428571428571429,3.0
V2TOP-052,V1_TOP100_RESIDENTIAL_ZONE,g496-72,35.394086,139.509504,神奈川県横浜市泉区中田町,HRZ02510,52,54,A_HIGH_EVIDENCE_CLUSTER,6,0.6428571428571429,2.8333333333333335
V2TOP-053,V1_TOP100_RESIDENTIAL_ZONE,g536-139,35.358154,139.58349,神奈川県横浜市栄区本郷台一丁目,HRZ02799,53,55,A_HIGH_EVIDENCE_CLUSTER,6,0.6805555555555556,3.1666666666666665
V2TOP-054,V1_TOP100_RESIDENTIAL_ZONE,g547-145,35.348273,139.590117,神奈川県横浜市栄区桂台北,HRZ02829,54,56,A_HIGH_EVIDENCE_CLUSTER,6,0.7160493827160493,3.0
V2TOP-055,V1_TOP100_RESIDENTIAL_ZONE,g551-151,35.344679,139.596742,神奈川県横浜市栄区上之町,HRZ02844,55,57,A_HIGH_EVIDENCE_CLUSTER,6,0.6746031746031746,3.0
V2TOP-056,V1_TOP100_RESIDENTIAL_ZONE,g256-112,35.609685,139.553677,神奈川県川崎市多摩区菅馬場四丁目,HRZ00821,56,58,A_HIGH_EVIDENCE_CLUSTER,5,0.5432098765432098,3.2
V2TOP-057,V1_TOP100_RESIDENTIAL_ZONE,g177-239,35.680648,139.693951,東京都渋谷区代々木神園町,HRZ00455,57,59,A_HIGH_EVIDENCE_CLUSTER,41,0.6624514991181658,2.2195121951219514
V2TOP-058,V1_TOP100_RESIDENTIAL_ZONE,g467-134,35.42014,139.578977,神奈川県横浜市戸塚区原宿四丁目,HRZ02397,58,60,A_HIGH_EVIDENCE_CLUSTER,33,0.477665544332211,3.242424242424242
V2TOP-059,V1_TOP100_RESIDENTIAL_ZONE,g472-110,35.415649,139.551468,神奈川県横浜市戸塚区汲沢町,HRZ02414,59,61,A_HIGH_EVIDENCE_CLUSTER,33,0.4821548821548822,2.9393939393939394
V2TOP-060,V1_TOP100_RESIDENTIAL_ZONE,g380-91,35.49829,139.530486,神奈川県横浜市旭区今宿南町,HRZ01758,60,62,A_HIGH_EVIDENCE_CLUSTER,32,0.44598765432098764,2.8125
V2TOP-061,V1_TOP100_RESIDENTIAL_ZONE,g393-101,35.486612,139.541528,神奈川県横浜市旭区今宿西町,HRZ01849,61,63,A_HIGH_EVIDENCE_CLUSTER,31,0.4715759858877502,3.2903225806451615
V2TOP-062,V1_TOP100_RESIDENTIAL_ZONE,g452-146,35.433616,139.591221,神奈川県横浜市戸塚区平戸町,HRZ02298,62,64,A_HIGH_EVIDENCE_CLUSTER,31,0.49477279922742673,2.838709677419355
V2TOP-063,V1_TOP100_RESIDENTIAL_ZONE,g475-145,35.412953,139.590117,神奈川県横浜市港南区下永谷六丁目,HRZ02424,63,65,A_HIGH_EVIDENCE_CLUSTER,29,0.5076634070417404,3.1379310344827585
V2TOP-064,V1_TOP100_RESIDENTIAL_ZONE,g359-117,35.517154,139.559197,神奈川県横浜市緑区寺山町,HRZ01523,64,66,A_HIGH_EVIDENCE_CLUSTER,28,0.5291304347826087,3.2142857142857144
V2TOP-065,V1_TOP100_RESIDENTIAL_ZONE,g399-73,35.481222,139.510608,神奈川県横浜市旭区南希望が丘,HRZ01908,65,67,A_HIGH_EVIDENCE_CLUSTER,28,0.5456349206349206,3.1785714285714284
V2TOP-066,V1_TOP100_RESIDENTIAL_ZONE,g438-112,35.446191,139.553677,神奈川県横浜市保土ケ谷区境木本町,HRZ02188,66,68,A_HIGH_EVIDENCE_CLUSTER,28,0.44598765432098764,3.2142857142857144
V2TOP-067,V1_TOP100_RESIDENTIAL_ZONE,g81-135,35.766885,139.577872,東京都練馬区光が丘四丁目,HRZ00131,67,69,A_HIGH_EVIDENCE_CLUSTER,30,0.5341858710563702,3.2666666666666666
V2TOP-068,V1_TOP100_RESIDENTIAL_ZONE,g425-160,35.457865,139.606684,神奈川県横浜市保土ケ谷区峰沢町,HRZ02099,68,70,A_HIGH_EVIDENCE_CLUSTER,28,0.3787477954144621,3.0
V2TOP-069,V1_TOP100_RESIDENTIAL_ZONE,g506-128,35.385102,139.571343,神奈川県横浜市港南区日野八丁目,HRZ02577,69,71,A_HIGH_EVIDENCE_CLUSTER,28,0.43496472663139327,3.142857142857143
V2TOP-070,V1_TOP100_RESIDENTIAL_ZONE,g435-142,35.448886,139.586804,神奈川県横浜市保土ケ谷区法泉二丁目,HRZ02170,70,72,A_HIGH_EVIDENCE_CLUSTER,27,0.42592592592592593,3.259259259259259
V2TOP-071,V1_TOP100_RESIDENTIAL_ZONE,g495-82,35.394985,139.520548,神奈川県横浜市戸塚区舞岡町,HRZ02513,71,73,A_HIGH_EVIDENCE_CLUSTER,27,0.3870591259640103,2.962962962962963
V2TOP-072,V1_TOP100_RESIDENTIAL_ZONE,g542-111,35.352764,139.552572,神奈川県横浜市栄区小菅ケ谷一丁目,HRZ02818,72,74,A_HIGH_EVIDENCE_CLUSTER,27,0.4115226337448559,3.111111111111111
V2TOP-073,V1_TOP100_RESIDENTIAL_ZONE,g126-250,35.726426,139.706267,東京都新宿区内藤町,HRZ00284,73,75,A_HIGH_EVIDENCE_CLUSTER,26,0.49145299145299143,2.6538461538461537
V2TOP-074,V1_TOP100_RESIDENTIAL_ZONE,g535-100,35.359052,139.540424,神奈川県横浜市栄区鍛冶ケ谷二丁目,HRZ02792,74,76,A_HIGH_EVIDENCE_CLUSTER,24,0.5077160493827161,3.1666666666666665
V2TOP-075,V1_TOP100_RESIDENTIAL_ZONE,g86-355,35.762394,139.821887,東京都足立区古千谷一丁目,HRZ00157,75,77,A_HIGH_EVIDENCE_CLUSTER,21,0.4514991181657848,2.7142857142857144
V2TOP-076,V1_TOP100_RESIDENTIAL_ZONE,g504-96,35.386899,139.536006,神奈川県横浜市港南区日限山四丁目,HRZ02566,76,78,A_HIGH_EVIDENCE_CLUSTER,21,0.40365961199294536,3.238095238095238
V2TOP-077,V1_TOP100_RESIDENTIAL_ZONE,g480-144,35.408459,139.589013,神奈川県横浜市港南区下永谷六丁目,HRZ02454,77,79,A_HIGH_EVIDENCE_CLUSTER,20,0.45,2.9
V2TOP-078,V1_TOP100_RESIDENTIAL_ZONE,g94-323,35.755206,139.786675,東京都足立区古千谷二丁目,HRZ00198,78,85,A_HIGH_EVIDENCE_CLUSTER,17,0.44734867724867725,2.764705882352941
V2TOP-079,V1_TOP100_RESIDENTIAL_ZONE,g219-302,35.642917,139.763633,東京都中央区浜離宮庭園,HRZ00657,79,105,A_HIGH_EVIDENCE_CLUSTER,8,0.4671768707482993,2.75
V2TOP-080,V1_TOP100_RESIDENTIAL_ZONE,g146-108,35.708464,139.549259,東京都板橋区新河岸一丁目,HRZ00350,80,113,A_HIGH_EVIDENCE_CLUSTER,7,0.5571820987654321,2.7142857142857144
V2TOP-081,V1_TOP100_RESIDENTIAL_ZONE,g396-293,35.483917,139.753696,東京都江東区夢の島三丁目,HRZ01868,81,119,A_HIGH_EVIDENCE_CLUSTER,6,0.40151719576719576,2.8333333333333335
V2TOP-082,V1_TOP100_RESIDENTIAL_ZONE,g159-201,35.696787,139.651954,東京都世田谷区上野毛二丁目,HRZ00394,82,122,A_HIGH_EVIDENCE_CLUSTER,6,0.5164609053497943,2.6666666666666665
V2TOP-083,V1_TOP100_RESIDENTIAL_ZONE,g47-358,35.797429,139.8252,東京都葛飾区東金町八丁目,HRZ00070,83,125,A_HIGH_EVIDENCE_CLUSTER,6,0.5586784602605946,2.1666666666666665
V2TOP-084,V1_TOP100_RESIDENTIAL_ZONE,g401-289,35.479425,139.749279,東京都江東区夢の島二丁目,HRZ01898,84,129,A_HIGH_EVIDENCE_CLUSTER,5,0.6074074074074074,2.8
V2TOP-085,V1_TOP100_RESIDENTIAL_ZONE,g73-347,35.774071,139.813052,東京都足立区鹿浜二丁目,HRZ00111,85,130,A_HIGH_EVIDENCE_CLUSTER,5,0.4552083333333333,2.8
V2TOP-086,V1_TOP100_RESIDENTIAL_ZONE,g102-262,35.747121,139.71952,東京都北区志茂五丁目,HRZ00231,86,138,A_HIGH_EVIDENCE_CLUSTER,5,0.49616402116402114,2.4
V2TOP-087,V1_TOP100_RESIDENTIAL_ZONE,g183-256,35.675258,139.712894,東京都千代田区北の丸公園,HRZ00483,87,140,A_HIGH_EVIDENCE_CLUSTER,5,0.5037037037037037,2.0
V2TOP-088,V1_TOP100_RESIDENTIAL_ZONE,g76-188,35.771375,139.637597,東京都練馬区石神井町五丁目,HRZ00128,88,145,A_HIGH_EVIDENCE_CLUSTER,33,0.3251028806584362,3.242424242424242
V2TOP-089,V1_TOP100_RESIDENTIAL_ZONE,g211-167,35.650105,139.614428,東京都世田谷区岡本二丁目,HRZ00629,89,163,A_HIGH_EVIDENCE_CLUSTER,20,0.25123456790123455,2.85
V2TOP-090,V1_TOP100_RESIDENTIAL_ZONE,g149-169,35.705769,139.616637,東京都杉並区大宮二丁目,HRZ00369,90,164,A_HIGH_EVIDENCE_CLUSTER,20,0.32098765432098764,2.55
V2TOP-091,V1_TOP100_RESIDENTIAL_ZONE,g194-308,35.665375,139.770259,東京都台東区上野公園,HRZ00512,91,169,A_HIGH_EVIDENCE_CLUSTER,18,0.36213991769547327,2.1666666666666665
V2TOP-092,V1_TOP100_RESIDENTIAL_ZONE,g194-131,35.665375,139.574664,東京都世田谷区成城四丁目,HRZ00513,92,176,A_HIGH_EVIDENCE_CLUSTER,16,0.25990887713179944,2.375
V2TOP-093,V1_TOP100_RESIDENTIAL_ZONE,g61-379,35.787547,139.848386,東京都江戸川区上篠崎一丁目,HRZ00083,93,183,A_HIGH_EVIDENCE_CLUSTER,14,0.25132275132275134,2.0714285714285716
V2TOP-094,V1_TOP100_RESIDENTIAL_ZONE,g152-168,35.703074,139.615533,東京都杉並区成田西三丁目,HRZ00376,94,193,A_HIGH_EVIDENCE_CLUSTER,13,0.18043723233478334,2.1538461538461537
V2TOP-095,V1_TOP100_RESIDENTIAL_ZONE,g221-291,35.641121,139.751488,東京都大田区池上一丁目,HRZ00668,95,197,A_HIGH_EVIDENCE_CLUSTER,12,0.16358024691358025,3.0
V2TOP-096,V1_TOP100_RESIDENTIAL_ZONE,g142-255,35.712057,139.71179,東京都文京区目白台一丁目,HRZ00336,96,199,A_HIGH_EVIDENCE_CLUSTER,12,0.1563786008230453,2.5833333333333335
V2TOP-097,V1_TOP100_RESIDENTIAL_ZONE,g128-255,35.72463,139.71179,東京都新宿区戸山三丁目,HRZ00290,97,203,A_HIGH_EVIDENCE_CLUSTER,11,0.15375982042648709,2.727272727272727
V2TOP-098,V1_TOP100_RESIDENTIAL_ZONE,g380-312,35.49829,139.774525,東京都江戸川区清新町一丁目,HRZ01772,98,208,A_HIGH_EVIDENCE_CLUSTER,11,0.2435465768799102,2.090909090909091
V2TOP-099,V1_TOP100_RESIDENTIAL_ZONE,g84-144,35.76419,139.589013,東京都板橋区高島平三丁目,HRZ00146,99,210,A_HIGH_EVIDENCE_CLUSTER,10,0.291358024691358,2.8
V2TOP-100,V1_TOP100_RESIDENTIAL_ZONE,g207-249,35.653699,139.705163,東京都港区白金台五丁目,HRZ00602,100,212,A_HIGH_EVIDENCE_CLUSTER,10,0.3074074074074074,3.2
